station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.SLV..HH,2020-10-01T00:00:00.003,3571,2020-10-01T00:00:35.713,0.472,P,CI.SLV.2020-10-01T00:00.mseed,1.1382061302356306e-06,1.1382061302356306e-06
CI.SLV..HH,2020-10-01T00:00:00.003,3819,2020-10-01T00:00:38.193,0.517,P,CI.SLV.2020-10-01T00:00.mseed,2.317118060091161e-06,2.317118060091161e-06
CI.SLV..HH,2020-10-01T00:00:00.003,7494,2020-10-01T00:01:14.943,0.925,P,CI.SLV.2020-10-01T00:00.mseed,1.7865692143459455e-06,1.7865692143459455e-06
CI.SLV..HH,2020-10-01T00:00:00.003,9792,2020-10-01T00:01:37.923,0.62,P,CI.SLV.2020-10-01T00:00.mseed,2.019960220422945e-06,2.019960220422945e-06
CI.SLV..HH,2020-10-01T00:00:00.003,11811,2020-10-01T00:01:58.113,0.62,P,CI.SLV.2020-10-01T00:00.mseed,9.935199614119483e-07,9.935199614119483e-07
CI.SLV..HH,2020-10-01T00:00:00.003,12978,2020-10-01T00:02:09.783,0.455,P,CI.SLV.2020-10-01T00:00.mseed,8.207797463910538e-07,8.207797463910538e-07
CI.SLV..HH,2020-10-01T00:00:00.003,14785,2020-10-01T00:02:27.853,0.839,P,CI.SLV.2020-10-01T00:00.mseed,8.565600182919297e-06,8.565600182919297e-06
CI.SLV..HH,2020-10-01T00:00:00.003,424,2020-10-01T00:00:04.243,0.361,S,CI.SLV.2020-10-01T00:00.mseed,5.313889232638758e-06,5.313889232638758e-06
CI.SLV..HH,2020-10-01T00:00:00.003,1016,2020-10-01T00:00:10.163,0.458,S,CI.SLV.2020-10-01T00:00.mseed,2.550508952481323e-06,2.550508952481323e-06
CI.SLV..HH,2020-10-01T00:00:00.003,4010,2020-10-01T00:00:40.103,0.595,S,CI.SLV.2020-10-01T00:00.mseed,1.494290813752741e-06,1.494290813752741e-06
CI.SLV..HH,2020-10-01T00:00:00.003,6570,2020-10-01T00:01:05.703,0.365,S,CI.SLV.2020-10-01T00:00.mseed,1.7865692143459455e-06,1.7865692143459455e-06
CI.SLV..HH,2020-10-01T00:00:00.003,8308,2020-10-01T00:01:23.083,0.393,S,CI.SLV.2020-10-01T00:00.mseed,1.3400951957009966e-06,1.3400951957009966e-06
CI.SLV..HH,2020-10-01T00:00:00.003,9286,2020-10-01T00:01:32.863,0.423,S,CI.SLV.2020-10-01T00:00.mseed,1.3825415408064146e-06,1.3825415408064146e-06
